# id	name	mnn
2115	Пемозар &reg;	-
5596	Пенемера	меропенем
2116	Пензитал Гастро &reg;	-
2117	Пенибактам	-
2118	Пеницилламин-натив	-
7049	Пенкрофтон	мифепристон
2119	Пенсейд	-
10748	Пентаглобин	иммуноглобулин человека нормальный [igg + igm + iga]
4531	Пентакокс	рифапентин
8687	Пентаксим	-
8751	Пенталгин	-
2120	Пенталгин &reg; Моно	-
2121	Пенталгин &reg; НЕО	-
2122	Пенталгин &reg; экстра-гель	-
2123	Пентамин	-
2124	Пентафенил	-
13109	Пентафлуцин	~
2125	Пентафлуцин-Бронхо	-
5859	Пентафлуцин детский	~
4773	Пентафлуцин дневной	~
11948	Пентилин	пентоксифиллин
13358	Пентифин	~
7511	Пентовит	-
3792	Пентоксифиллин	пентоксифиллин
3446	Пентоксифиллин-Дарница	пентоксифиллин
10833	Пентоксифиллин Зентива	пентоксифиллин
5515	Пентоксифиллин Сандоз	пентоксифиллин
8647	Пентоксифиллин-СЗ	пентоксифиллин
10720	Пентоксифиллин СР Зентива	пентоксифиллин
13165	Пентоксифиллин-ФПО	пентоксифиллин
8759	Пентоксифиллин-Эском	пентоксифиллин
12939	Пеония-ГФ	~
12905	Пеония ДН	~
13331	Пеония-плюс	~
11324	Пепонен	тыквы обыкновенной семян масло
7651	Пепсан-Р	~
3606	Пепсин	пепсин
7503	Пептид дельта-сна	триптофанил-аланил-глицил-глицил-аспартил-аланил-серил-глицил-глутаминовая кислота
13540	Пептон для бактериологических питательных сред сухой	~
6831	Пептон основной сухой	~
9944	Пепторелин	протирелин
13129	Перга	~
4604	Перговерис	~
3667	Перекиси водорода раствор	водорода пероксид
3607	Перекиси водорода раствор спиртовой 1.5%	водорода пероксид
3882	Перекись водорода	водорода пероксид
9793	Перекись водорода 50%	водорода пероксид
3883	Перекись водорода буфус	водорода пероксид
6916	Перекись водорода раствор для наружного применения 3 %	водорода пероксид&
9774	Перец стручковый	~
11629	Перитол	ципрогептадин
6060	Перициазин	перициазин
11072	Пермиксон	пальмы ползучей плодов экстракт
5326	Пермский край	г
11507	Персен Ночь	~
13683	Персиковое масло	~
13614	Пертудорон 1Р	~
4654	Пертуссин-Эко	~
10061	Перфторан	-
5099	Перхлозон	тиоуреидоиминометилпиридиния перхлорат
11878	Перхотал	кетоконазол
3524	Перца водяного экстракт жидкий	перца водяного экстракт жидкий &
7412	Перцовый пластырь Доктор перец с обезболивающим действием	-
5197	Перьета	пертузумаб
12117	Пиаскледин 300	~
2126	Пивелтра	-
2127	Пиглерия &reg;	-
2128	Пидогрел	-
3741	Пикамилон	никотиноил гамма-аминомасляная кислота
2129	Пикамилон &reg;	-
2130	Пикамилон &reg; Гинкго	-
12920	Пиканоил	никотиноил - гамма-аминобутират натрия
2131	Пикасил &reg;	-
2132	Пикеале	-
3925	Пиклодорм	зопиклон
2133	Пиклоксидин	-
2134	Пиклоксидин Велфарм	-
2135	Пиклонорд &reg;	-
2136	Пиклосепт	-
7058	Пикогам	пикогам®
2137	Пикодинар	-
5491	Пикопреп	~
2138	Пикопреп &reg;	-
2139	Пикорегулон &reg;	-
2140	Пикосульфат ФТ	-
2141	Пикрэй &reg;	-
2142	Пиксуври &reg;	-
2143	Пикторид-СОЛОфарм	-
2144	Пилактам	-
13619	Пиламин	пипемидовая кислота
10902	Пилобакт	~
7405	Пилобакт АМ	~
2146	Пимафудерм	-
11133	Пимидель	пипемидовая кислота
2147	Пимоцев-АГ	-
9833	Пинаверия бромид	пинаверия бромид
2148	Пин Ап	-
5875	Пинеамин	полипептиды шишковидной железы [эпифиза] крупного рогатого скота
2149	Пини-Ойл	-
7681	Пиновитум	~
8736	Пиносол	~
6616	Пиобактериофаг комплексный	пиобактериофаг
7331	Пиобактериофаг поливалентный очищенный	пиобактериофаг
7148	Пиоглар	пиоглитазон
9496	Пиоглит	пиоглитазон
6690	Пиоглитазона гидрохлорид	пиоглитазон
12684	Пиолизин	~
2150	Пиона настойка Реневал	-
3597	Пиона уклоняющегося настойка	-
8456	Пиона экстракт	-
9257	Пиона экстракт сухой	-
10186	Пиоуно	пиоглитазон
12249	Пипегал	пипемидовая кислота
13733	Пипекурония бромид	пипекурония бромид
5930	Пипемидовая кислота	пипемидовая кислота
9685	Пипемидовой кислоты тригидрат	пипемидовая кислота
7602	Пиперазин	пиперазина адипинат
3474	Пиперазина адипинат	пиперазина адипинат
9845	Пиперидилнитробензамида гидрохлорид	4-нитро-n-[(1rs)-1-(4-фторфенил)-2-(1-этилпиперидин-4-ил)этил] бензамида гидрохлорид
11070	Пипольфен	прометазин
8310	Пипофезин	пипофезин
9683	Пирибедил	пирибедил
9218	Пиритион цинк	пиритион цинк
9601	Пиритион цинка	пиритион цинк
11112	Пирлиндола гидрохлорид	пирлиндол
13090	Пирогенал	-
5555	Пироксикам	пироксикам
13688	Пироксикам-OBL	пироксикам
13461	Пироксикам-Акри	пироксикам
13672	Пироксикам-Альтфарм	пироксикам
7577	Пироксикам-Верте	пироксикам
6403	Пироксифер	пироксикам
12886	Пирфотех 99mTc	~
6649	Питательная среда для выделения	дифференциации и количественного определения бактерий в моче электролит-дефицитная сухая (эдпа)"
6646	Питательная среда для выделения и дифференциации E.coli О157:H7 и других энтеробактерий по признаку ферментации сорбита сухая (ЭДКС-агар)	~
6768	Питательная среда для выделения и дифференциации энтеробактерий селективная сухая (типа Макконки агара)	~
7091	Питательная среда для выделения и дифференциации энтеробактерий сухая (среда Кода)	~
6836	Питательная среда для выделения и культивирования холерного вибриона сухая (Щелочной агар)	~
13603	Питательная среда для выделения микобактерий туберкулеза сухая (ФАСТ-3Л)	~
6647	Питательная среда для выделения стафилоккоков сухая (Солевой агар-М)	~
13517	Питательная среда для идентификации энтеробактерий сухая (Ацетатный агар)	~
13515	Питательная среда для идентификации энтеробактерий сухая (Цитратный агар Кристенсена)	~
6770	Питательная среда для контроля стерильности сухая (Тиогликолевая среда)	~
7052	Питательная среда для культивирования микобактерий туберкулеза сухая (МБТ-бульон)	~
13516	Питательная среда для первичной идентификации энтеробактерий сухая (Агар Клиглера)	~
13543	Питательный агар для культивирования микроорганизмов сухой (ГМФ-агар)	~
7092	Питательный агар для культивирования микроорганизмов сухой (СПА)	~
13538	Питательный бульон для культивирования микроорганизмов сухой (ГМФ-бульон)	~
6593	Питательный бульон для культивирования микроорганизмов сухой (СПБ)	~
12860	Пиявит	~
7248	Пиявка медицинская	-
12093	ПК-Мерц	амантадин
2151	Плавикс &reg;	-
2152	Плагрил &reg;	-
11972	Плазбумин 20	альбумин человека
11971	Плазбумин-20	альбумин
7642	Плазма	плазма крови человека сухая
6667	Плазма для фракционирования	плазма крови человека
13446	Плазма после удаления факторов VIII и IХ для фракционирования	плазма крови человека
2153	Плазмафузол	-
8812	Плазма человека для фракционирования	плазма крови человека
7705	Плаксат	оксалиплатин
2154	ПланиЖенс &reg; гесто 20	-
2155	ПланиЖенс &reg; гесто 30	-
2156	ПланиЖенс &reg; дезо 20	-
2157	ПланиЖенс &reg; дезо 30	-
2158	ПланиЖенс &reg; дие	-
2159	ПланиЖенс &reg; дроспи	-
2160	ПланиЖенс &reg; лакто	-
2161	ПланиЖенс &reg; лево	-
2162	ПланиЖенс &reg; номе	-
2163	ПланиЖенс &reg; ринг	-
2164	ПланиЖенс &reg; трио	-
2165	ПланиЖенс &reg; хло	-
2166	ПланиЖенс &reg; ципро	-
13641	Плантаго-плюс	~
10947	Плантекс	фенхеля обыкновенного плоды
9582	Пластохинонилдецилтрифенилфосфония бромид	пластохинонилдецилтрифенилфосфония бромид
11610	Платидиам	цисплатин
8762	Платикад	оксалиплатин
2167	Платикад &reg;	-
2168	Платина	-
12365	Платинол	цисплатин
10997	Плацента композитум	~
2169	Плегриди	-
2170	Плериксафор Дж	-
2171	Плериксафор-Рус	-
2172	Плерифор &reg;	-
2173	Плетакс &reg;	-
2174	Плетакс Ново &reg;	-
7489	Плизил	пароксетин
5057	Плизил Н	пароксетин
3932	Плоды боярышника	плоды боярышника
2175	Плюмбум металликум	-
2176	Плюща листьев экстракт	-
2177	Плюща раствор Вертекс	-
2178	Плюща сироп	-
10518	Пневмо 23	вакцина для профилактики пневмококковых инфекций
2179	Пневмовакс &reg; 23	-
13611	Пневмодорон 1Р	пневмодорон
13612	Пневмодорон 2Р	пневмодорон
9765	Пневмококковые моновалентные полисахаридные конъюгаты серотипов 1	3
2063	ПНЕМОТЕКС &reg;	-
7370	Поверхностный антиген вируса гепатита В (HBsAg) очищенный концентрированный	вакцина для профилактики вирусного гепатита в
9204	Повиаргол	~
2182	Подагразин &reg;	-
2183	Подагрель	-
2184	Подагрум	-
2187	Подофиллюм пелтатум	-
8935	подразделение медицинских и химических технологий	китай
2188	Позаконазол	-
2189	Позаконазол Кроно	-
2191	Полайви &reg;	-
2192	Полаксин B	-
2193	Полиактин ГК	-
13682	Полигемостат	~
2194	Полидигидроксифенилентиосульфонат натрия	-
7723	Полижинакс Вирго	~
9220	Полиметилсилоксана полигидрат	полиметилсилоксана полигидрат
9696	Полимурамил	~
2199	ПолиовакСин	-
8817	Полиоксидоний	азоксимера бромид
2200	Полиоксидоний &reg;	-
3809	Полиоксифумарин	`
8958	Полиорикс	вакцина для профилактики полиомиелита
10523	Полипласдон Икс Эл-10	кросповидон
7410	Полирибоадениловой кислоты калиевая соль	~
7411	Полирибоуридиловой кислоты калиевая соль	~
